temp_C,soc,days,reported,predicted,error_pct,in_dist_error_pct,edge_error_pct
40.0,0.25,107.46666666666664,0.9786834299991044,0.9546278746455268,-2.4579506116293017,-2.4579506116293017,
40.0,0.375,107.46666666666664,0.971657646340248,0.9546278746455268,-1.7526514363226484,-1.7526514363226484,
40.0,0.5,107.46666666666664,0.9727201231949888,0.9243797910758779,-4.969603379884099,-4.969603379884099,
40.0,0.625,107.46666666666664,0.9686696941834294,0.9243797910758779,-4.572239987840964,-4.572239987840964,
40.0,0.75,107.46666666666664,0.9590227686420078,0.9243797910758779,-3.612320655867735,-3.612320655867735,
40.0,0.875,107.46666666666664,0.9468883372774708,0.8790076657214047,-7.1688148310326865,-7.1688148310326865,
40.0,1.0,107.46666666666664,0.9474250665938344,0.8790076657214047,-7.221404972786161,-7.221404972786161,
60.0,0.0,107.46666666666664,0.977956397050518,0.845767007984444,-13.516900085193212,,-13.516900085193212
60.0,0.5,107.46666666666664,0.9272173544138268,0.7429450133074067,-19.873694148327754,,-19.873694148327754
60.0,1.0,107.46666666666664,0.9032272427878334,0.5887120212918509,-34.8212727203869,,-34.8212727203869
0.0,0.5,136.94583333333333,0.9921100639672528,0.995684311109336,0.36026719936601576,0.36026719936601576,
10.0,0.5,136.94583333333333,0.989199184983092,0.9901499029945816,0.09610986603328574,0.09610986603328574,
25.0,0.0,136.94583333333333,0.9951236409164592,0.9816303638624083,-1.3559397545438943,-1.3559397545438943,
25.0,0.5,136.94583333333333,0.9828895646372386,0.9693839397706805,-1.3740734821559286,-1.3740734821559286,
25.0,1.0,136.94583333333333,0.9562150598906144,0.9510143036330887,-0.5438898084412761,-0.5438898084412761,
40.0,0.0,136.94583333333333,0.9930549719416456,0.9487815247447874,-4.4583077923967975,-4.4583077923967975,
40.0,0.125,136.94583333333333,0.9851526859243775,0.9487815247447874,-3.6919313827442672,-3.6919313827442672,
40.0,0.25,136.94583333333333,0.975563147598136,0.9487815247447874,-2.7452474931310937,-2.7452474931310937,
40.0,0.375,136.94583333333333,0.9678494009163632,0.9487815247447874,-1.9701284263359837,-1.9701284263359837,
40.0,0.5,136.94583333333333,0.9687548693106328,0.9146358745746457,-5.586448796329487,-5.586448796329487,
40.0,0.625,136.94583333333333,0.9646761733500768,0.9146358745746457,-5.187263887906946,-5.187263887906946,
40.0,0.75,136.94583333333333,0.9548549086940132,0.9146358745746457,-4.212057114978491,-4.212057114978491,
40.0,0.875,136.94583333333333,0.9417235215435836,0.8634173993194331,-8.315192350276929,-8.315192350276929,
40.0,1.0,136.94583333333333,0.9421316313164813,0.8634173993194331,-8.354908102072468,-8.354908102072468,
60.0,0.0,136.94583333333333,0.9752019342806822,0.8258935718049335,-15.310507211604326,,-15.310507211604326
60.0,0.5,136.94583333333333,0.9205536288083012,0.7098226196748891,-22.891768881103967,,-22.891768881103967
60.0,1.0,136.94583333333333,0.8951888480698232,0.5357161914798225,-40.15606956734144,,-40.15606956734144
0.0,0.5,161.36249999999998,0.9913689372475568,0.9953153513408741,0.398077238961527,0.398077238961527,
10.0,0.5,161.36249999999998,0.9881376968728696,0.9893077918965576,0.11841416711365219,0.11841416711365219,
25.0,0.0,161.36249999999998,0.9942833685596512,0.9800598946122459,-1.4305251799605037,-1.4305251799605037,
25.0,0.5,161.36249999999998,0.9812586304977072,0.9667664910204097,-1.476892944110662,-1.476892944110662,
25.0,1.0,161.36249999999998,0.9519813076443564,0.9468263856326555,-0.5414940367323534,-0.5414940367323534,
40.0,0.0,161.36249999999998,0.9916769771863296,0.9444027205144787,-4.7671023689570236,-4.7671023689570236,
40.0,0.125,161.36249999999998,0.9829369569718523,0.9444027205144787,-3.9203161692166506,-3.9203161692166506,
40.0,0.25,161.36249999999998,0.9730167137425562,0.9444027205144787,-2.940750433568424,-2.940750433568424,
40.0,0.375,161.36249999999998,0.9646867275901666,0.9444027205144787,-2.102652238862901,-2.102652238862901,
40.0,0.5,161.36249999999998,0.965732578553232,0.9073378675241311,-6.046675065739445,-6.046675065739445,
40.0,0.625,161.36249999999998,0.9615888015613792,0.9073378675241311,-5.641801771106121,-5.641801771106121,
40.0,0.75,161.36249999999998,0.951579197536503,0.9073378675241311,-4.649253590968158,-4.649253590968158,
40.0,0.875,161.36249999999998,0.937788484500802,0.8517405880386097,-9.175618797238352,-9.175618797238352,
40.0,1.0,161.36249999999998,0.9382705975489,0.8517405880386097,-9.222287231033105,-9.222287231033105,
60.0,0.0,161.36249999999998,0.9729315668342696,0.8110087483011938,-16.642775715453574,,-16.642775715453574
60.0,0.5,161.36249999999998,0.9149094981384968,0.6850145805019896,-25.127612961091618,,-25.127612961091618
60.0,1.0,161.36249999999998,0.8889565357951861,0.49602332880318334,-44.20162192075202,,-44.20162192075202
0.0,0.5,186.79166666666663,0.9904873307947992,0.9949597222804539,0.4515344463887197,0.4515344463887197,
10.0,0.5,186.79166666666663,0.987033016611436,0.9884961067098282,0.14823112031399818,0.14823112031399818,
25.0,0.0,186.79166666666663,0.9934292773741308,0.9785461672316635,-1.4981549750382663,-1.4981549750382663,
25.0,0.5,186.79166666666663,0.979787819349744,0.9642436120527726,-1.5864870934288198,-1.5864870934288198,
25.0,1.0,186.79166666666663,0.9488118126142228,0.9427897792844362,-0.6346920695679689,-0.6346920695679689,
40.0,0.0,186.79166666666663,0.9904385066168158,0.9401821247549998,-5.0741546826045685,-5.0741546826045685,
40.0,0.125,186.79166666666663,0.9808731108529476,0.9401821247549998,-4.148445466362482,-4.148445466362482,
40.0,0.25,186.79166666666663,0.9703722752964,0.9401821247549998,-3.1111926123588596,-3.1111926123588596,
40.0,0.375,186.79166666666663,0.961763664448029,0.9401821247549998,-2.2439545691731966,-2.2439545691731966,
40.0,0.5,186.79166666666663,0.962758014610391,0.900303541258333,-6.487037490654606,-6.487037490654606,
40.0,0.625,186.79166666666663,0.9584533892465852,0.900303541258333,-6.0670501706882405,-6.0670501706882405,
40.0,0.75,186.79166666666663,0.9484019078483358,0.900303541258333,-5.071517274688406,-5.071517274688406,
40.0,0.875,186.79166666666663,0.9339254531440562,0.8404856660133329,-10.005058414047788,-10.005058414047788,
